match_id,season,batting_team,bowling_team,home_team,away_team,over,runs
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,4,21
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,5,23
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,6,26
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,7,33
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,8,34
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,9,35
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,10,38
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,11,49
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,12,64
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,13,68
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,14,77
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,15,81
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,16,87
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,17,90
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,18,103
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,19,112
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,1,1
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,2,6
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,3,16
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,4,24
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,5,38
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,6,54
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,7,59
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,8,70
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,9,73
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,10,82
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,11,85
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,12,97
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,13,101
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,14,112
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,15,115
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,16,128
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,17,136
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,18,138
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,19,149
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,20,166
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,1,6
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,2,13
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,3,28
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,4,42
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,5,48
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,6,53
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,7,60
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,8,65
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,9,76
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,10,87
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,11,99
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,12,102
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,13,114
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,14,127
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,15,142
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,16,152
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,17,154
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,18,164
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,19,168
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,1,1
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,2,9
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,3,15
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,4,16
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,5,23
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,6,25
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,7,34
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,8,36
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,9,43
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,10,45
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,11,54
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,12,60
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,13,62
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,14,68
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,15,73
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,16,82
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,17,90
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,18,116
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,19,128
7,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,20,142
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,1,4
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,2,18
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,3,30
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,4,32
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,5,37
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,6,48
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,7,55
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,8,60
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,9,83
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,10,95
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,11,100
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,12,112
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,13,142
7,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,14,143
8,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,1,7
8,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,2,16
8,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,3,34
8,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,4,35
8,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,5,40
8,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,6,53
8,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,7,59
8,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,8,64
8,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,9,72
